id,recipe_name,text
393,Banana Peach Bread,"Preheat oven to 350 degrees F (175 degrees C). Grease the bottom of a 5x9-inch loaf pan.
Beat white sugar and butter together in a large bowl with an electric mixer until light and fluffy. Add brown sugar and hot chocolate mix; stir well.
Place bananas, peach, milk, eggs, and vanilla extract in a blender; blend until smooth. Stir into butter mixture until well incorporated.
Mix flour, walnuts, baking soda, and salt together in a separate bowl; stir into banana-butter mixture until flour mixture is just moistened. Pour batter into the prepared loaf pan.
Bake in the preheated oven until a toothpick inserted in the center of bread comes out clean, 50 to 60 minutes. Cool in pan for 5 minutes before transferring bread to a wire rack to cool completely."
713,Chamoyada,"Combine mango and pineapple juice in a blender; blend until smooth. Set aside.
Rub lime wedge around the rim of a glass, then dip in 1 teaspoon chili-lime seasoning. Juice lime into the glass; add 1 tablespoon chamoy and remaining 1 teaspoon chili-lime seasoning. Pour 1/2 of the mango-pineapple mixture into the prepared glass. Add remaining 1 tablespoon chamoy sauce and top with remaining mango-pineapple mixture."
581,Banana Chocolate Chip Bread,"Preheat the oven to 325 degrees F (165 degrees C). Grease a 9x5-inch loaf pan, preferably glass.
Mix flour, baking powder, baking soda, and salt in a bowl. Stir bananas, milk, and cinnamon in another bowl. Beat sugar and butter together in a third bowl with an electric mixer until light and fluffy; add eggs one at a time, beating well after each addition. Stir banana mixture into butter mixture; mix in flour mixture until just blended. Fold in chocolate chips; pour batter into the prepared loaf pan.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, about 70 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack before slicing."
90,Apple Strudel Muffins,"Preheat the oven to 375 degrees F (190 degrees C). Grease a 12-cup muffin pan.
Mix flour, baking powder, baking soda, and salt in a medium bowl.
Beat together sugar, butter, and eggs in a large bowl until smooth. Mix in vanilla. Stir in apples, then gradually blend in flour mixture. Spoon batter into the prepared muffin pan.
Make topping: Mix brown sugar, flour, and cinnamon in a small bowl. Cut in butter until mixture resembles coarse crumbs. Sprinkle over each muffin top.
Bake in the preheated oven until a toothpick inserted in the center of a muffin comes out clean, about 20 minutes. Let sit 5 minutes before transferring muffins to a wire rack to cool."
651,Pavlova Deluxe,"Preheat oven to 400 degrees F (205 degrees C). Grease interior of 8 inch springform pan and dust lightly with cornstarch.
Beat egg whites, preferably in a glass or ceramic bowl, until stiff and glossy. Make sure egg whites have absolutely no contact with grease (fresh or residual), or even a speck of yolk. Combine cream of tartar, white sugar, and cornstarch; gradually beat in to the egg whites. Sprinkle vinegar over egg white mixture, then fold it in very gently.
Pile meringue into prepared pan. Spread to the sides leaving a slight depression in the center. Place in preheated oven. Close the oven door, and immediately turn oven down to 250 degrees F (120 degrees C). Bake for 75 to 90 minutes. Open oven door, but leave meringue in the oven for 15 more minutes. Remove meringue to a draft free spot. Very carefully remove rim of springform pan, and allow meringue to cool completely. There may be a slight sinking in the center. Carefully remove meringue from pan base, and place on serving platter.
Whip cream, vanilla extract, and confectioners' sugar until thick and firm. Gently spread over the meringue.
Remove the pulp from the passion fruit, and spoon over cream. If using kiwi, peel and slice the fruit; arrange slightly overlapping slices in a pleasing design. Chill until serving time."
678,Spicy Mango Sauce,"Stir mango, rice vinegar, lime juice, Thai chile pepper, garlic, and hot chile paste in a bowl until well combined. Cover and let rest 30 minutes. Stir in cilantro."
49,Apple Crumb Pie,"Preheat the oven to 375 degrees F (190 degrees C).
Place sliced apples in a large bowl; sprinkle with lemon juice. Mix white sugar, 2 tablespoons flour, cinnamon, and nutmeg together in a small bowl; sprinkle mixture over apples and toss until evenly coated. Stir in raisins and walnuts; transfer mixture into pie shell.
Mix 1/2 cup flour and brown sugar together in a small bowl. Blend in butter with a fork until mixture is crumbly; sprinkle over apple filling. Cover top of pie loosely with aluminum foil.
Bake in the preheated oven for 25 minutes. Remove foil and bake until top is golden brown and filling is bubbly, about 25 to 30 minutes more. Cool on a wire rack before serving."
99,Easy Apple Cider,"Combine apple cider and cinnamon sticks in a slow cooker.
Place allspice and cloves onto the center of an 8-inch square piece of cheesecloth. Gather edges of the cheesecloth together and tie to secure; place in the slow cooker. Stir in brown sugar. Cook on High until it comes to a boil. Reduce heat to Low and keep warm."
244,Slow Cooker Cranberry Fig Pork,"Heat a skillet over medium-high heat. Sear pork chops in the hot skillet until lightly browned, about 1 minute per side. Transfer seared pork chops to the slow cooker.
Combine cranberries, figs, reserved fig juice, apple juice, brown sugar, salt, black pepper, and rosemary in a saucepan; bring to a boil. Pour cranberry mixture over pork chops.
Cook on High for 4 hours."
887,Energy Bars,"Preheat an oven to 350 degrees F (175 degrees C). Lightly oil a 9x13-inch baking dish.
Mix the eggs, banana, oats, sunflower seeds, cinnamon, milk powder, dates, raisins, walnuts, apricots, wheat germ, maple syrup, and whole-wheat pastry flour together in a large bowl until thoroughly combined; spread the mixture evenly into the prepared baking dish.
Bake in the preheated oven for 20 minutes; set aside to cool. Cut into 9 bars and wrap with plastic to store."
